Instância,Dados Iniciais,Diagnóstico Inicial,Diagnóstico do Modelo,Contribuições
12,"{'Temperature': 20.4, 'Humidity': 52.8, 'PM2.5': 11.7, 'PM10': 16.7, 'NO2': 24.4, 'SO2': 2.3, 'CO': 1.05, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 430.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.036143263267683155, 'Humidity <= -0.74': -0.024377143695638172, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.022957321108334823, '-0.86 < CO <= -0.17': -0.022725140054823064, '-0.75 < Population_Density <= -0.02': -0.015063786610286872}"
13,"{'Temperature': 37.0, 'Humidity': 76.5, 'PM2.5': 22.5, 'PM10': 35.0, 'NO2': 38.0, 'SO2': 26.9, 'CO': 2.31, 'Proximity_to_Industrial_Areas': 3.7, 'Population_Density': 774.0}",Poor,Hazardous,"{'CO > 0.62': 0.07096742038356654, 'Population_Density > 0.68': 0.0468252795603459, 'SO2 > 0.55': 0.03343491852219595, 'NO2 > 0.61': 0.03290241193745299, 'Proximity_to_Industrial_Areas <= -0.84': 0.03143202671946778}"
14,"{'Temperature': 19.8, 'Humidity': 53.7, 'PM2.5': 17.0, 'PM10': 19.9, 'NO2': 15.9, 'SO2': 7.0, 'CO': 1.04, 'Proximity_to_Industrial_Areas': 10.8, 'Population_Density': 564.0}",Good,Good,"{'-0.65 < PM10 <= -0.31': -0.03380251245296836, 'Humidity <= -0.74': -0.029015598504419354, '-0.86 < CO <= -0.17': -0.02045125372931107, 'Temperature <= -0.73': -0.019633703291169355, 'NO2 <= -0.71': -0.009350050713206447}"
15,"{'Temperature': 32.2, 'Humidity': 62.2, 'PM2.5': 23.6, 'PM10': 32.0, 'NO2': 32.8, 'SO2': 10.1, 'CO': 1.54, 'Proximity_to_Industrial_Areas': 9.0, 'Population_Density': 685.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04101497771886893, '-0.31 < PM10 <= 0.30': -0.03390424704355413, 'NO2 > 0.61': 0.027423566150678244, '-0.17 < CO <= 0.62': -0.012857928418292017, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.011533424022164923}"
16,"{'Temperature': 32.1, 'Humidity': 49.0, 'PM2.5': 0.5, 'PM10': 3.1000000000000014, 'NO2': 15.800000000000002, 'SO2': 4.8, 'CO': 0.98, 'Proximity_to_Industrial_Areas': 12.2, 'Population_Density': 423.0}",Good,Good,"{'PM10 <= -0.65': -0.04207502210749929, 'CO <= -0.86': -0.02832185119287609, 'Humidity <= -0.74': -0.019613334243463832, 'Proximity_to_Industrial_Areas > 0.74': -0.018176504479324618, 'PM2.5 <= -0.63': 0.01755088243869267}"
17,"{'Temperature': 29.7, 'Humidity': 54.0, 'PM2.5': 0.1999999999999993, 'PM10': 7.600000000000001, 'NO2': 15.6, 'SO2': 4.4, 'CO': 0.93, 'Proximity_to_Industrial_Areas': 10.8, 'Population_Density': 401.0}",Good,Good,"{'PM10 <= -0.65': -0.03464624624178502, 'Humidity <= -0.74': -0.026686636260034917, 'CO <= -0.86': -0.023726537658489224, '-0.75 < Population_Density <= -0.02': -0.0179773036533965, 'PM2.5 <= -0.63': 0.014945439704763763}"
18,"{'Temperature': 30.4, 'Humidity': 66.4, 'PM2.5': 1.1000000000000014, 'PM10': 3.552713678800501e-15, 'NO2': 24.0, 'SO2': 4.3, 'CO': 0.96, 'Proximity_to_Industrial_Areas': 11.1, 'Population_Density': 214.0}",Good,Good,"{'PM10 <= -0.65': -0.0429128359962505, 'Population_Density <= -0.75': -0.03650359664541983, 'CO <= -0.86': -0.03153347910418475, 'PM2.5 <= -0.63': 0.02541645494792508, 'SO2 <= -0.73': -0.019770992009495864}"
19,"{'Temperature': 33.8, 'Humidity': 62.6, 'PM2.5': 10.1, 'PM10': 20.0, 'NO2': 26.6, 'SO2': 11.2, 'CO': 1.78, 'Proximity_to_Industrial_Areas': 6.0, 'Population_Density': 322.0}",Moderate,Moderate,"{'Population_Density <= -0.75': -0.03523882143570188, '-0.65 < PM10 <= -0.31': -0.034566109241962524, '-0.63 < PM2.5 <= -0.33': 0.0231197811367541, '-0.84 < Proximity_to_Industrial_Areas <= -0.15': -0.006295473354505609, '-0.29 < SO2 <= 0.55': -0.0053057103208657705}"
20,"{'Temperature': 36.3, 'Humidity': 84.9, 'PM2.5': 5.300000000000001, 'PM10': 14.100000000000001, 'NO2': 33.0, 'SO2': 16.5, 'CO': 1.9, 'Proximity_to_Industrial_Areas': 5.3, 'Population_Density': 718.0}",Poor,Poor,"{'CO > 0.62': 0.06702790485804692, '-0.65 < PM10 <= -0.31': -0.04853632088330665, 'Population_Density > 0.68': 0.039599449692713035, 'NO2 > 0.61': 0.03527530735783276, 'SO2 > 0.55': 0.03230794022380294}"
21,"{'Temperature': 18.5, 'Humidity': 64.8, 'PM2.5': 8.8, 'PM10': 11.5, 'NO2': 14.1, 'SO2': 5.1, 'CO': 0.89, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 428.0}",Good,Good,"{'PM10 <= -0.65': -0.03826008684293178, 'CO <= -0.86': -0.0259038411865839, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01787368052984107, 'SO2 <= -0.73': -0.012239131456254403, '-0.63 < PM2.5 <= -0.33': 0.012111689588158411}"
22,"{'Temperature': 26.4, 'Humidity': 72.7, 'PM2.5': 2.3999999999999986, 'PM10': 6.199999999999999, 'NO2': 20.3, 'SO2': 9.0, 'CO': 0.94, 'Proximity_to_Industrial_Areas': 10.1, 'Population_Density': 431.0}",Good,Good,"{'PM10 <= -0.65': -0.03733047459552313, 'CO <= -0.86': -0.029027348041154057, 'PM2.5 <= -0.63': 0.02094183297400318, '-0.73 < Temperature <= -0.15': -0.014134241307197417, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.01302425321203195}"
23,"{'Temperature': 31.8, 'Humidity': 67.3, 'PM2.5': 17.7, 'PM10': 23.4, 'NO2': 22.1, 'SO2': 9.6, 'CO': 2.49, 'Proximity_to_Industrial_Areas': 5.9, 'Population_Density': 689.0}",Poor,Poor,"{'CO > 0.62': 0.05503291588974859, 'Population_Density > 0.68': 0.034525228407340236, '-0.31 < PM10 <= 0.30': -0.029058992738505058, '-0.71 < NO2 <= -0.14': -0.012994304655434621, '-0.29 < SO2 <= 0.55': -0.00896631290868868}"
24,"{'Temperature': 30.7, 'Humidity': 80.5, 'PM2.5': 19.9, 'PM10': 34.2, 'NO2': 19.9, 'SO2': 8.4, 'CO': 1.43, 'Proximity_to_Industrial_Areas': 6.8, 'Population_Density': 527.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.03141456386243767, 'Humidity > 0.65': 0.028851306059556183, 'NO2 <= -0.71': -0.01868151194492687, '-0.02 < Population_Density <= 0.68': 0.007230391622624443, '-0.15 < Temperature <= 0.61': 0.005213633210884443}"
25,"{'Temperature': 21.4, 'Humidity': 77.6, 'PM2.5': 7.699999999999999, 'PM10': 11.2, 'NO2': 25.2, 'SO2': 5.0, 'CO': 0.94, 'Proximity_to_Industrial_Areas': 12.6, 'Population_Density': 547.0}",Good,Good,"{'PM10 <= -0.65': -0.04183353201690674, 'CO <= -0.86': -0.02861513774068858, '-0.63 < PM2.5 <= -0.33': 0.02519114608148396, 'Temperature <= -0.73': -0.01896158822793304, '-0.02 < Population_Density <= 0.68': 0.01470969794171934}"
26,"{'Temperature': 39.3, 'Humidity': 84.6, 'PM2.5': 69.1, 'PM10': 91.7, 'NO2': 32.7, 'SO2': 16.5, 'CO': 1.85, 'Proximity_to_Industrial_Areas': 4.3, 'Population_Density': 513.0}",Poor,Poor,"{'PM10 > 0.30': 0.11787219558397605, 'CO > 0.62': 0.05685264465874109, 'PM2.5 > 0.25': -0.03967455573477988, 'Humidity > 0.65': 0.03716498639012101, 'Proximity_to_Industrial_Areas <= -0.84': 0.03386417293976591}"
27,"{'Temperature': 22.4, 'Humidity': 66.0, 'PM2.5': 24.6, 'PM10': 32.1, 'NO2': 20.6, 'SO2': 6.2, 'CO': 0.8, 'Proximity_to_Industrial_Areas': 11.2, 'Population_Density': 257.0}",Good,Good,"{'Population_Density <= -0.75': -0.03505292163925742, '-0.31 < PM10 <= 0.30': -0.03393974938259116, 'CO <= -0.86': -0.03293731124943227, 'Temperature <= -0.73': -0.02085391890558504, '-0.73 < SO2 <= -0.29': -0.01348189927341012}"
28,"{'Temperature': 29.6, 'Humidity': 44.2, 'PM2.5': 24.7, 'PM10': 27.3, 'NO2': 27.5, 'SO2': 7.7, 'CO': 1.01, 'Proximity_to_Industrial_Areas': 10.5, 'Population_Density': 315.0}",Good,Good,"{'Population_Density <= -0.75': -0.03386334443522486, '-0.31 < PM10 <= 0.30': -0.030711728879945967, 'CO <= -0.86': -0.023231113149596354, 'Humidity <= -0.74': -0.02084981112905703, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.014531086298218419}"
29,"{'Temperature': 37.0, 'Humidity': 78.3, 'PM2.5': 12.0, 'PM10': 24.3, 'NO2': 23.7, 'SO2': 6.1, 'CO': 1.7, 'Proximity_to_Industrial_Areas': 7.6, 'Population_Density': 485.0}",Moderate,Moderate,"{'-0.31 < PM10 <= 0.30': -0.03282688806417207, 'Temperature > 0.61': 0.029641750539670577, '-0.75 < Population_Density <= -0.02': -0.017106374794031456, '-0.63 < PM2.5 <= -0.33': 0.01261878132567006, '-0.73 < SO2 <= -0.29': -0.010347979861047466}"
30,"{'Temperature': 32.3, 'Humidity': 63.1, 'PM2.5': 3.0, 'PM10': 12.2, 'NO2': 18.1, 'SO2': 12.3, 'CO': 1.36, 'Proximity_to_Industrial_Areas': 10.4, 'Population_Density': 314.0}",Moderate,Moderate,"{'PM10 <= -0.65': -0.04029111535978888, 'Population_Density <= -0.75': -0.03450219980514108, '-0.86 < CO <= -0.17': -0.02503549009174239, 'NO2 <= -0.71': -0.02372473879026863, 'PM2.5 <= -0.63': 0.023630342082544796}"
31,"{'Temperature': 26.4, 'Humidity': 54.3, 'PM2.5': 4.1999999999999975, 'PM10': 7.600000000000001, 'NO2': 23.8, 'SO2': 5.8, 'CO': 1.02, 'Proximity_to_Industrial_Areas': 11.7, 'Population_Density': 299.0}",Good,Good,"{'PM10 <= -0.65': -0.03759302078749751, 'Population_Density <= -0.75': -0.02912303120832822, 'CO <= -0.86': -0.025878038900566412, 'PM2.5 <= -0.63': 0.020810859213590847, 'Humidity <= -0.74': -0.01987910113799586}"
32,"{'Temperature': 41.1, 'Humidity': 71.6, 'PM2.5': 6.9, 'PM10': 30.1, 'NO2': 37.9, 'SO2': 8.3, 'CO': 1.8, 'Proximity_to_Industrial_Areas': 3.8, 'Population_Density': 713.0}",Poor,Poor,"{'Population_Density > 0.68': 0.0504916678150873, 'Temperature > 0.61': 0.03257092209168648, '-0.31 < PM10 <= 0.30': -0.030486081670321387, 'NO2 > 0.61': 0.022413690775397715, 'Proximity_to_Industrial_Areas <= -0.84': 0.02113367520605246}"
33,"{'Temperature': 43.0, 'Humidity': 94.0, 'PM2.5': 7.6, 'PM10': 16.5, 'NO2': 27.5, 'SO2': 19.0, 'CO': 1.39, 'Proximity_to_Industrial_Areas': 8.6, 'Population_Density': 588.0}",Poor,Poor,"{'-0.65 < PM10 <= -0.31': -0.040651537611822705, 'SO2 > 0.55': 0.030029632431798, 'Humidity > 0.65': 0.029160539894498957, '-0.86 < CO <= -0.17': -0.02674855770148959, 'Temperature > 0.61': 0.024558082603371664}"
34,"{'Temperature': 26.5, 'Humidity': 83.7, 'PM2.5': 3.1999999999999993, 'PM10': 11.7, 'NO2': 31.5, 'SO2': 12.4, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 5.5, 'Population_Density': 614.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04187300897852256, 'PM10 <= -0.65': -0.04167238655429988, 'PM2.5 <= -0.63': 0.02384002356217165, 'Humidity > 0.65': 0.019877300387716818, '-0.17 < CO <= 0.62': -0.014720096669011685}"
35,"{'Temperature': 27.8, 'Humidity': 90.3, 'PM2.5': 11.9, 'PM10': 20.6, 'NO2': 33.1, 'SO2': 10.7, 'CO': 1.37, 'Proximity_to_Industrial_Areas': 6.3, 'Population_Density': 533.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.039708127200636684, 'Humidity > 0.65': 0.02665969394136823, '-0.86 < CO <= -0.17': -0.025025496132048287, 'NO2 > 0.61': 0.02272862731920267, '-0.02 < Population_Density <= 0.68': 0.01633643213928196}"
36,"{'Temperature': 33.3, 'Humidity': 73.0, 'PM2.5': 7.000000000000002, 'PM10': 23.0, 'NO2': 24.2, 'SO2': 6.6, 'CO': 1.83, 'Proximity_to_Industrial_Areas': 9.1, 'Population_Density': 734.0}",Moderate,Moderate,"{'Population_Density > 0.68': 0.04699512113031932, '-0.31 < PM10 <= 0.30': -0.037579763405213455, '-0.63 < PM2.5 <= -0.33': 0.021723682197280013, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.015965497474467252, '-0.01 < Humidity <= 0.65': 0.01260863184904196}"
37,"{'Temperature': 36.4, 'Humidity': 64.6, 'PM2.5': 78.0, 'PM10': 82.6, 'NO2': 27.2, 'SO2': 5.8, 'CO': 1.5, 'Proximity_to_Industrial_Areas': 9.0, 'Population_Density': 412.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.10637433502744319, 'PM2.5 > 0.25': -0.03508039451082855, 'Temperature > 0.61': 0.03391362846637959, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.020006821068331813, '-0.75 < Population_Density <= -0.02': -0.017170561573454934}"
38,"{'Temperature': 30.8, 'Humidity': 76.8, 'PM2.5': 3.6999999999999993, 'PM10': 15.899999999999999, 'NO2': 30.8, 'SO2': 12.0, 'CO': 1.78, 'Proximity_to_Industrial_Areas': 7.8, 'Population_Density': 501.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.03720944140343472, 'PM2.5 <= -0.63': 0.03262240267236529, '-0.01 < Humidity <= 0.65': 0.012136668277215032, '-0.17 < CO <= 0.62': -0.009502773209895706, '-0.02 < Population_Density <= 0.68': 0.007021143719751847}"
39,"{'Temperature': 29.9, 'Humidity': 81.0, 'PM2.5': 3.8999999999999986, 'PM10': 14.9, 'NO2': 25.2, 'SO2': 10.9, 'CO': 1.24, 'Proximity_to_Industrial_Areas': 6.4, 'Population_Density': 366.0}",Moderate,Moderate,"{'-0.65 < PM10 <= -0.31': -0.03779256492253941, 'Population_Density <= -0.75': -0.03102034554247356, 'Humidity > 0.65': 0.028675192253633505, '-0.86 < CO <= -0.17': -0.021299602280580882, '-0.71 < NO2 <= -0.14': -0.013513822101563561}"
40,"{'Temperature': 27.9, 'Humidity': 41.1, 'PM2.5': 24.9, 'PM10': 29.8, 'NO2': 23.5, 'SO2': 6.1, 'CO': 1.08, 'Proximity_to_Industrial_Areas': 10.8, 'Population_Density': 294.0}",Good,Good,"{'Population_Density <= -0.75': -0.03858968651859419, '-0.31 < PM10 <= 0.30': -0.029437995970496046, 'Humidity <= -0.74': -0.02809070919626547, '-0.86 < CO <= -0.17': -0.020508203001122317, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.014546060904448222}"
41,"{'Temperature': 37.4, 'Humidity': 102.3, 'PM2.5': 26.3, 'PM10': 36.4, 'NO2': 28.4, 'SO2': 26.5, 'CO': 1.61, 'Proximity_to_Industrial_Areas': 5.7, 'Population_Density': 432.0}",Poor,Poor,"{'-0.31 < PM10 <= 0.30': -0.030636534466192914, 'SO2 > 0.55': 0.029952447874363904, 'Temperature > 0.61': 0.019821071804200906, 'Humidity > 0.65': 0.019648031239611553, '-0.75 < Population_Density <= -0.02': -0.01791307306673482}"
42,"{'Temperature': 26.3, 'Humidity': 73.3, 'PM2.5': 17.7, 'PM10': 23.6, 'NO2': 35.2, 'SO2': 14.1, 'CO': 1.77, 'Proximity_to_Industrial_Areas': 6.3, 'Population_Density': 482.0}",Moderate,Moderate,"{'SO2 > 0.55': 0.04126866488663077, '-0.31 < PM10 <= 0.30': -0.032872583422722756, 'NO2 > 0.61': 0.03189559670112997, '-0.75 < Population_Density <= -0.02': -0.021614208746736176, '-0.73 < Temperature <= -0.15': -0.01369612661836491}"
43,"{'Temperature': 52.5, 'Humidity': 83.9, 'PM2.5': 67.5, 'PM10': 91.20000000000002, 'NO2': 31.6, 'SO2': 34.6, 'CO': 2.31, 'Proximity_to_Industrial_Areas': 2.9000000000000004, 'Population_Density': 785.0}",Hazardous,Hazardous,"{'PM10 > 0.30': 0.12085729919669377, 'CO > 0.62': 0.060850163672938516, 'Population_Density > 0.68': 0.06066875777207795, 'Temperature > 0.61': 0.043311829941299236, 'PM2.5 > 0.25': -0.041238817471540644}"
44,"{'Temperature': 17.5, 'Humidity': 73.8, 'PM2.5': 3.3000000000000007, 'PM10': 8.8, 'NO2': 16.2, 'SO2': 8.4, 'CO': 0.83, 'Proximity_to_Industrial_Areas': 10.8, 'Population_Density': 217.0}",Good,Good,"{'PM10 <= -0.65': -0.03928444775558317, 'CO <= -0.86': -0.03154728287472683, 'Population_Density <= -0.75': -0.029968118649715877, 'PM2.5 <= -0.63': 0.020693221097267837, 'NO2 <= -0.71': -0.01780263778603942}"
45,"{'Temperature': 25.5, 'Humidity': 43.5, 'PM2.5': 5.199999999999999, 'PM10': 9.600000000000001, 'NO2': 24.4, 'SO2': 8.8, 'CO': 0.98, 'Proximity_to_Industrial_Areas': 11.4, 'Population_Density': 284.0}",Good,Good,"{'PM10 <= -0.65': -0.0364502192534491, 'Population_Density <= -0.75': -0.03180673819265941, 'CO <= -0.86': -0.028290360243071376, 'Humidity <= -0.74': -0.023512191480583852, 'Proximity_to_Industrial_Areas > 0.74': -0.014253376231214471}"
46,"{'Temperature': 33.6, 'Humidity': 90.6, 'PM2.5': 16.7, 'PM10': 22.9, 'NO2': 33.8, 'SO2': 10.0, 'CO': 1.69, 'Proximity_to_Industrial_Areas': 15.4, 'Population_Density': 486.0}",Moderate,Poor,"{'NO2 > 0.61': 0.03546166959304996, 'Humidity > 0.65': 0.031954323389294846, '-0.31 < PM10 <= 0.30': -0.029735731443116593, 'Proximity_to_Industrial_Areas > 0.74': -0.016148737040781028, '-0.75 < Population_Density <= -0.02': -0.011055733301785674}"
47,"{'Temperature': 27.3, 'Humidity': 67.9, 'PM2.5': 38.9, 'PM10': 49.8, 'NO2': 22.4, 'SO2': 12.2, 'CO': 1.52, 'Proximity_to_Industrial_Areas': 5.1, 'Population_Density': 564.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.1167145532166291, 'PM2.5 > 0.25': -0.03769974713313733, 'Proximity_to_Industrial_Areas <= -0.84': 0.03670465352840077, '-0.73 < Temperature <= -0.15': -0.017452428101210546, '-0.74 < Humidity <= -0.01': -0.012566718794398659}"
48,"{'Temperature': 30.5, 'Humidity': 73.1, 'PM2.5': 51.1, 'PM10': 73.9, 'NO2': 31.4, 'SO2': 19.4, 'CO': 2.05, 'Proximity_to_Industrial_Areas': 4.9, 'Population_Density': 664.0}",Poor,Poor,"{'PM10 > 0.30': 0.11263992302835368, 'CO > 0.62': 0.06384681266271029, 'Population_Density > 0.68': 0.03510800128031914, 'PM2.5 > 0.25': -0.03372367624001736, 'Proximity_to_Industrial_Areas <= -0.84': 0.0312541653195852}"
49,"{'Temperature': 21.7, 'Humidity': 61.4, 'PM2.5': 0.6000000000000014, 'PM10': 4.699999999999999, 'NO2': 13.0, 'SO2': 4.5, 'CO': 1.12, 'Proximity_to_Industrial_Areas': 12.2, 'Population_Density': 489.0}",Good,Good,"{'PM10 <= -0.65': -0.03561211914580625, '-0.86 < CO <= -0.17': -0.01815558073490316, 'PM2.5 <= -0.63': 0.01762858019030392, '-0.75 < Population_Density <= -0.02': -0.012915198844943647, 'SO2 <= -0.73': -0.012366714958855465}"
50,"{'Temperature': 25.7, 'Humidity': 70.3, 'PM2.5': 0.6999999999999993, 'PM10': 5.399999999999999, 'NO2': 14.0, 'SO2': 10.0, 'CO': 0.91, 'Proximity_to_Industrial_Areas': 11.1, 'Population_Density': 374.0}",Good,Good,"{'PM10 <= -0.65': -0.03867163457322978, 'Population_Density <= -0.75': -0.032707164806427644, 'CO <= -0.86': -0.03140273753962553, 'PM2.5 <= -0.63': 0.021429218390673157, 'NO2 <= -0.71': -0.014831441595990025}"
51,"{'Temperature': 31.1, 'Humidity': 78.8, 'PM2.5': 54.2, 'PM10': 63.7, 'NO2': 38.3, 'SO2': 9.1, 'CO': 1.47, 'Proximity_to_Industrial_Areas': 7.6, 'Population_Density': 488.0}",Moderate,Moderate,"{'PM10 > 0.30': 0.11176898875291168, 'PM2.5 > 0.25': -0.03679922176529122, 'NO2 > 0.61': 0.031836042625950876, '-0.75 < Population_Density <= -0.02': -0.014018973301720397, '-0.29 < SO2 <= 0.55': -0.006337357491991877}"
52,"{'Temperature': 22.8, 'Humidity': 72.8, 'PM2.5': 16.8, 'PM10': 25.2, 'NO2': 23.0, 'SO2': 2.1000000000000005, 'CO': 1.15, 'Proximity_to_Industrial_Areas': 10.3, 'Population_Density': 502.0}",Good,Good,"{'-0.31 < PM10 <= 0.30': -0.030858547629006333, '-0.86 < CO <= -0.17': -0.023120698753605333, 'SO2 <= -0.73': -0.0187464140448121, '-0.01 < Humidity <= 0.65': 0.018081058813935603, '-0.15 < Proximity_to_Industrial_Areas <= 0.74': -0.017225043130403805}"
